Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
09.03.2024,(Гриша),Ливень,Ден,Гриша,Ондрей,Юран,против,Сеньор,Савва,Данил,Бот,https://youtu.be/fwP3_5Mwmt4
09.03.2024,(Ден),Ливень,Ден,Гриша,Ондрей,Юран,против,Сеньор,Савва,Данил,Бот,https://youtu.be/kDoHmpIifUo
09.03.2024,(Сеньор),Ливень,Ден,Гриша,Ондрей,Юран,против,Сеньор,Савва,Данил,Бот,https://youtu.be/F1J3ZAakZmg
03.03.2024,(Данил),Кровавая жатва,Данил,Вадим,Сеньор,Савва,против,Гриша,Миша,Ден,Бот,https://youtu.be/PdvR70GIdak
03.03.2024,(Ден),Кровавая жатва,Данил,Вадим,Сеньор,Савва,против,Гриша,Миша,Ден,Бот,https://youtu.be/5cAk0Wq6GuU
03.03.2024,(Сеньор),Кровавая жатва,Данил,Вадим,Сеньор,Савва,против,Гриша,Миша,Ден,Бот,https://youtu.be/Lw5mc3tGuFo
03.03.2024,(Сеньор),Переход,Вадим,Сеньор,Юран,Гриша,против,Ден,Данил,Савва,Миша,https://youtu.be/wRP-SQqdSLI
03.03.2024,(Ден),Переход,Вадим,Сеньор,Юран,Гриша,против,Ден,Данил,Савва,Миша,https://youtu.be/s9bZ3wkqObQ
02.03.2024,(Гриша),Мрачный карнавал,Данил,Гриша,Сеньор,Савва,против,Вадим,Миша,Ваня,Бот,https://youtu.be/Jca9VnOlpv8
02.03.2024,(Сеньор),Мрачный карнавал,Данил,Гриша,Сеньор,Савва,против,Вадим,Миша,Ваня,Бот,https://youtu.be/ex6nXWZJ1Sg
02.03.2024,(Данил),Мрачный карнавал,Миша,Гриша,Сеньор,Бот,против,Вадим,Савва,Данил,Ваня,https://youtu.be/t8JoJPbheGs
25.02.2024,(Сеньор),Холодный ручей,Ден,Вадим,Гриша,Бот,против,Юран,Сеньор,Ваня,Бот,ч1 https://youtu.be/oifbD7bZJME   ч2https://youtu.be/7kV56mezGCY
25.02.2024,(Ден),Холодный ручей,Ден,Вадим,Гриша,Бот,против,Юран,Сеньор,Ваня,Бот,https://youtu.be/k5r_u5bIDB4
25.02.2024,(Ден),Похоронный звон,Юран,Гриша,Сеньор,Ден,против,Данил,Ваня,Савва,Вадим,ч1 https://youtu.be/EwgKUH-wrd4 ч2 https://youtu.be/CJh3OPFIC1c
25.02.2024,(Данил),Похоронный звон,Юран,Гриша,Сеньор,Ден,против,Данил,Ваня,Савва,Вадим,https://youtu.be/IZirB8nvsKU  
24.02.2024,(Гриша),Приход,Ден,Юран,Ондрей,Вадим,против,Данил,Савва,Гриша,Ваня,https://youtu.be/_n_Y2rHKw6E
24.02.2024,(Гриша),Смерть в воздухе,Ден,Ондрей,Юран,Вадим,против,Гриша,Ваня,Савва,Данил,https://youtu.be/KnA9L18tCyU
24.02.2024,(Ден),Приход,Ден,Юран,Ондрей,Вадим,против,Данил,Савва,Гриша,Ваня,https://youtu.be/Wea9Gwc_YRg
24.02.2024,(Ден),Смерть в воздухе,Ден,Ондрей,Юран,Вадим,против,Гриша,Ваня,Савва,Данил,https://youtu.be/kjuAOLghcGc
18.02.2024,(Гриша),Нет милосердию,Ден,Джун,Юран,Бот,против,Гриша,Миша,Вадим,Бот,https://youtu.be/t00eFZswaqo
18.02.2024,(Ден),Нет милосердию,Джун,Юра,Ден,Бот,против,Вадим,Миша,Гриша,Бот,https://youtu.be/sD3jH2F0KGg
11.02.2024,(Гриша),Нет милосердию,Вадим,Ден,Юран,Бот,против,Данил,Гриша,Савва,Бот,https://youtu.be/BgdefoJotRg
11.02.2024,(Ден),Смерть в воздухе,Вадим,Ден,Миша,Ондрей,против,Гриша,Савва,Данил,Ваня,https://youtu.be/8GOXB1gF9bg
04.02.2024,(Ден),Ливень,Вадим,Ден,Ондрей,Миша,против,Данил,Ваня,Гриша,Савва,https://youtu.be/Uh6DyEzAdeg
04.02.2024,(Гриша),Ливень,Вадим,Ден,Миша,Ондрей,против,Гриша,Савва,Данил,Ваня,https://youtu.be/e2AFcnZuen0
03.01.2024,(Сеньор),Вымерший центр,Гриша,Вадим,Данил,Савва,против,Миша,Сеньор,Ваня,Джун,https://youtu.be/j8jIs_qjns4
03.01.2024,(Гриша),Вымерший центр,Гриша,Вадим,Данил,Савва,против,Миша,Сеньор,Ваня,Джун,https://youtu.be/ER8QnXcqRe4
03.01.2024,(Сеньор),Болотная лихорадка,Гриша,Ваня,Данил,Савва,против,Миша,Сеньор,Вадим,Джун,https://youtu.be/7Ti7dz1SdgA
03.01.2024,(Гриша),Болотная лихорадка,Гриша,Ваня,Данил,Савва,против,Миша,Сеньор,Вадим,Джун,https://youtu.be/Pu7inXi6xkE
28.01.2024,(Гриша),Холодный ручей,Гриша,Миша,Савва,Данил,против,Сеньор,Ваня,Вадим,Джун,https://youtu.be/qTS1lW8vVOM
28.01.2024,(Сеньор),Холодный ручей,Гриша,Миша,Савва,Данил,против,Сеньор,Ваня,Вадим,Джун,https://youtu.be/p3qXVO4xztU
28.01.2024,(Сеньор),Похоронный звон,Гриша,Миша,Савва,Данил,против,Сеньор,Ваня,Вадим,Джун,https://youtu.be/huWTB0gcxVQ
28.01.2024,(Гриша),Похоронный звон,Гриша,Миша,Данил,Савва,против,Ваня,Сеньор,Вадим,Джун,https://youtu.be/gRhDnlBDW3I
27.01.2024,(Данил),Кровавая жатва,Гриша,Миша,Сеньор,Бот,против,Ваня,Савва,Данил,Бот,https://youtu.be/RBpi0_Rbubs
27.01.2024,(Сеньор),Кровавая жатва,Гриша,Миша,Сеньор,Бот,против,Ваня,Савва,Данил,Бот,https://youtu.be/G8ibjp8DeZ0
27.01.2024,(Гриша),Кровавая жатва,Гриша,Миша,Сеньор,Бот,против,Ваня,Савва,Данил,Бот,https://youtu.be/i9jVOGzGnVk
