Date,Recorder,Map,Player1,Player2,Player3,Player4,vs,Player5,Player6,Player7,Player8,link
2024-03-09,(Гриша),ливень,Ден,Гриша,Ондрей,Юран,против,Сеньор,Савва,Данил,Бот,https://youtu.be/fwP3_5Mwmt4
2024-03-03,(Данил),кровавая жатва,Данил,Вадим,Сеньор,Савва,против,Гриша,Миша,Ден,Бот,https://youtu.be/PdvR70GIdak
2024-03-03,(Сеньор),переход,Вадим,Сеньор,Юран,Гриша,против,Ден,Данил,Савва,Миша,https://youtu.be/wRP-SQqdSLI
2024-03-02,(Гриша),мрачный карнавал,Данил,Гриша,Сеньор,Савва,против,Вадим,Миша,Ваня,Бот,https://youtu.be/Jca9VnOlpv8
2024-02-25,(Сеньор),холодный ручей,Ден,Вадим,Гриша,Бот,против,Юран,Сеньор,Ваня,Бот,ч1 https://youtu.be/oifbD7bZJME   ч2https://youtu.be/7kV56mezGCY
2024-02-25,(Ден),похоронный звон,Юран,Гриша,Сеньор,Ден,против,Данил,Ваня,Савва,Вадим,ч1 https://youtu.be/EwgKUH-wrd4 ч2 https://youtu.be/CJh3OPFIC1c
2024-02-24,(Гриша),приход,Ден,Юран,Ондрей,Вадим,против,Данил,Савва,Гриша,Ваня,https://youtu.be/_n_Y2rHKw6E
2024-02-24,(Гриша),смерть в воздухе,Ден,Ондрей,Юран,Вадим,против,Гриша,Ваня,Савва,Данил,https://youtu.be/KnA9L18tCyU
2024-02-18,(Гриша),нет милосердию,Ден,Джун,Юран,Бот,против,Гриша,Миша,Вадим,Бот,https://youtu.be/t00eFZswaqo
2024-02-11,(Гриша),нет милосердию,Вадим,Ден,Юран,Бот,против,Данил,Гриша,Савва,Бот,https://youtu.be/BgdefoJotRg
2024-02-11,(Ден),смерть в воздухе,Вадим,Ден,Миша,Ондрей,против,Гриша,Савва,Данил,Ваня,https://youtu.be/8GOXB1gF9bg
2024-02-04,(Ден),ливень,Вадим,Ден,Ондрей,Миша,против,Данил,Ваня,Гриша,Савва,https://youtu.be/Uh6DyEzAdeg
2024-01-03,(Сеньор),вымерший центр,Гриша,Вадим,Данил,Савва,против,Миша,Сеньор,Ваня,Джун,https://youtu.be/j8jIs_qjns4
2024-01-03,(Сеньор),болотная лихорадка,Гриша,Ваня,Данил,Савва,против,Миша,Сеньор,Вадим,Джун,https://youtu.be/7Ti7dz1SdgA
2024-01-28,(Гриша),холодный ручей,Гриша,Миша,Савва,Данил,против,Сеньор,Ваня,Вадим,Джун,https://youtu.be/qTS1lW8vVOM
2024-01-28,(Сеньор),похоронный звон,Гриша,Миша,Савва,Данил,против,Сеньор,Ваня,Вадим,Джун,https://youtu.be/huWTB0gcxVQ
2024-01-27,(Данил),кровавая жатва,Гриша,Миша,Сеньор,Бот,против,Ваня,Савва,Данил,Бот,https://youtu.be/RBpi0_Rbubs
2024-01-21,(Данил),последний рубеж,Вадим,Ондрей,Сеньор,Бот,против,Гриша,Савва,Данил,Бот,https://youtu.be/WNNkoZ31Jvw
2024-01-21,(Сеньор),приход,Вадим,Ондрей,Сеньор,Бот,против,Гриша,Савва,Данил,Бот,https://youtu.be/Et97EaODOWM
2024-01-14,(Гриша),мрачный карнавал,Ваня,Ден,Савва,Джун,против,Сеньор,Данил,Вадим,Гриша,https://youtu.be/VkT60C9E2uE
2024-01-06,(Гриша),переход,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/APih0m7kEE4
2024-01-06,(Сеньор),смерть в воздухе,Вадим,Юран,Ден,Бот,против,Миша,Гриша,Сеньор,Бот,https://youtu.be/xDj_CSImWZc
2024-01-05,(Сеньор),вымерший центр,Ондрей,Ден,Вадим,Джун,против,Сеньор,Ваня,Гриша,Миша,https://youtu.be/R-sfJtMZ9s0
2024-01-05,(Сеньор),нет милосердию,Вадим,Ден,Джун,Сеньор,против,Ваня,Гриша,Миша,Ондрей,https://youtu.be/4JescLovIn4
